0.1,0.1,33,162,31,226
0.1,0.1,31,161,30,222
0.1,0.1,32,160,29,221
0.1,0.1,32,162,30,224
0.1,0.1,32,160,30,222
0.1,0.1,32,160,29,221
0.1,0.1,31,161,29,221
0.1,0.1,32,160,29,221
0.1,0.1,32,161,30,223
0.1,0.1,32,160,29,221
0.1,0.1,32,160,30,222
0.1,0.1,32,162,29,223
0.1,0.1,32,165,31,228
0.1,0.1,32,163,30,225
0.1,0.1,31,162,30,223
0.1,0.1,33,162,28,223
0.1,0.1,32,162,30,224
0.1,0.1,33,162,30,225
0.1,0.1,33,164,29,226
0.1,0.1,32,161,29,222
0.1,0.1,33,162,29,224
0.1,0.1,32,162,30,224
0.1,0.1,32,166,30,228
0.1,0.1,32,162,29,223
0.1,0.1,32,162,29,223
0.1,0.1,32,161,30,223
0.1,0.1,32,165,603,800
0.1,0.1,34,163,48,245
0.1,0.1,32,166,28,226
0.1,0.1,32,167,601,800
0.1,0.1,32,163,47,242
0.1,0.1,33,164,51,248
0.1,0.1,33,162,30,225
0.1,0.1,34,162,27,223
0.1,0.1,33,162,31,226
0.1,0.1,32,161,30,223
0.1,0.1,32,165,603,800
0.1,0.1,33,161,45,239
0.1,0.1,32,163,29,224
0.1,0.1,34,161,30,225
0.1,0.1,32,162,46,240
0.1,0.1,32,161,29,222
0.1,0.1,32,161,27,220
0.1,0.1,33,160,29,222
0.1,0.1,32,160,30,222
0.1,0.1,33,163,49,245
0.1,0.1,32,161,29,222
0.1,0.1,32,160,29,221
0.1,0.1,32,162,49,243
0.1,0.1,32,165,30,227
0.1,0.1,31,160,30,221
0.1,0.1,32,161,30,223
0.1,0.1,32,164,29,225
0.1,0.1,32,163,45,240
0.1,0.1,34,162,28,224
0.1,0.1,33,162,29,224
0.1,0.1,33,162,46,241
0.1,0.1,33,163,29,225
0.1,0.1,32,167,29,228
0.1,0.1,33,162,51,246
0.1,0.1,33,160,30,223
0.1,0.1,32,164,31,227
0.1,0.1,33,161,29,223
0.1,0.1,32,165,39,236
0.1,0.1,33,162,29,224
0.1,0.1,34,162,28,224
0.1,0.1,32,163,49,244
0.1,0.1,33,161,29,223
0.1,0.1,32,163,29,224
0.1,0.1,32,160,30,222
0.1,0.1,32,161,30,223
0.1,0.1,33,163,46,242
0.1,0.1,34,163,44,241
0.1,0.1,34,161,28,223
0.1,0.1,32,162,29,223
0.1,0.1,32,164,30,226
0.1,0.1,32,162,29,223
0.1,0.1,33,162,43,238
0.1,0.1,32,163,29,224
0.1,0.1,32,162,47,241
0.1,0.1,34,162,29,225
0.1,0.1,32,163,28,223
0.1,0.1,34,162,28,224
0.1,0.1,30,160,29,219
0.1,0.1,31,160,29,220
0.1,0.1,31,160,29,220
0.1,0.1,32,162,30,224
0.1,0.1,30,161,29,220
0.1,0.1,30,160,30,220
0.1,0.1,31,159,30,220
0.1,0.1,31,160,28,219
0.1,0.1,31,161,29,221
0.1,0.1,31,159,30,220
0.1,0.1,32,163,28,223
0.1,0.1,32,165,30,227
0.1,0.1,32,162,51,245
0.1,0.1,31,162,29,222
0.1,0.1,31,162,29,222
0.1,0.1,31,162,46,239
0.1,0.1,32,161,30,223
0.1,0.1,32,161,29,222
0.1,0.1,31,160,29,220
0.1,0.1,31,160,30,221
0.1,0.1,31,160,29,220
0.1,0.1,31,164,29,224
0.1,0.1,31,163,47,241
0.1,0.1,31,162,29,222
0.1,0.1,31,164,30,225
0.1,0.1,31,163,48,242
0.1,0.1,31,162,29,222
0.1,0.1,32,162,28,222
0.1,0.1,32,164,29,225
0.1,0.1,31,160,30,221
0.1,0.1,31,161,29,221
0.1,0.1,31,160,30,221
0.1,0.1,31,163,52,246
0.1,0.1,31,160,30,221
0.1,0.1,32,161,49,242
0.1,0.1,31,160,29,220
0.1,0.1,31,162,46,239
0.1,0.1,31,164,29,224
0.1,0.1,31,163,29,223
0.1,0.1,32,161,46,239
