1000,0,0
70,930,0
1000,0,0
69,526,405
121,879,0
0,0,0
178,822,0
0,0,0
47,232,721
50,216,534
52,223,179
50,230,520
51,217,532
51,229,520
51,218,180
51,219,530
50,219,531
55,222,523
50,231,87
51,244,118
50,217,533
56,221,523
52,242,112
55,222,523
51,217,532
50,218,532
50,217,533
50,229,521
51,226,67
51,222,89
51,219,530
52,217,531
51,217,532
51,222,527
55,220,525
51,216,533
53,224,523
50,222,528
51,219,530
52,220,528
51,216,533
51,219,530
51,217,140
52,255,93
52,237,511
55,217,528
52,221,527
51,259,490
51,217,135
