43,228,229
42,278,180
43,284,96
43,457,0
43,457,0
42,458,0
43,395,62
43,237,68
43,457,0
43,457,0
43,242,215
43,457,0
43,342,71
43,289,168
43,457,0
43,295,162
43,457,0
43,216,241
43,457,0
43,223,234
43,203,554
42,197,561
43,202,555
42,199,559
43,197,560
43,203,139
42,199,160
43,199,558
43,200,84
43,197,560
43,199,152
43,201,104
43,203,554
43,201,112
43,757,0
109,691,0
109,691,0
108,692,0
117,683,0
108,692,0
108,692,0
108,692,0
109,691,0
109,691,0
108,692,0
109,691,0
108,692,0
108,692,0
108,692,0
109,691,0
109,691,0
108,692,0
109,691,0
109,691,0
108,692,0
117,683,0
108,692,0
109,691,0
108,692,0
108,692,0
108,692,0
109,691,0
108,692,0
109,691,0
108,692,0
108,692,0
108,692,0
108,692,0
108,692,0
108,692,0
