tangent,-1.0,0.05546090169578197,0.042092715753665216,0.03411848165077943,
secant,-1.0,0.051477272067979266,0.04011179522009262,0.033285029308918655,
tangent,-0.5,0.023494820707346428,0.01178519663245693,0.004720726907269693,
secant,-0.5,0.018199501059847675,0.008967632874074826,0.003561595780408527,
tangent,1e-05,0.0324027158441389,0.016281510882245036,0.006746106970226552,
secant,1e-05,0.0012161576575905387,0.0006624308491554662,0.0005232709604135894,
tangent,0.5,0.07757653522248523,0.05115032712433793,0.03556414808017304,
secant,0.5,0.03945828921940706,0.03237034080007459,0.028138364632544488,
tangent,1.0,0.10391164661850807,0.06886679612454831,0.04810317463926363,
secant,1.0,0.05221811366628049,0.04338626874595076,0.03802614793631597,
tangent,-1.0,0.05546090169578197,0.042092715753665216,0.03411848165077943,
tangent,-0.5,0.023494820707346428,0.01178519663245693,0.004720726907269693,

