s,-1.0,0.033706759016494066
m,-1.0,0.02808822748469893
e,-1.0,0.18088078672665914
sm,-1.0,0.029039865975273402
me,-1.0,0.029584248578945194
se,-1.0,0.02897197761507343
sme,-1.0,0.030535887069519665
s,-0.5,0.10242204558098553
m,-0.5,0.0216817865564016
e,-0.5,0.08352740445169586
sm,-0.5,0.0155549868476429
me,-0.5,0.01892085644304129
se,-0.5,0.027447510645365415
sme,-0.5,0.012727334120779697
s,1e-05,0.0005008768761870681
m,1e-05,0.0004993845692891645
e,1e-05,0.0005013645094677443
sm,1e-05,0.0004992567259011332
me,1e-05,0.0004994406496883142
se,1e-05,0.0004996357096309496
sme,1e-05,0.0004993128063002829
s,0.5,0.09849879394113172
m,0.5,0.0303607450813535
e,0.5,0.16067506279959326
sm,0.5,0.03303847528966581
me,0.5,0.030485308809173692
se,0.5,0.04740518405422895
sme,0.5,0.030061864882141298
s,1.0,0.0551325653290101
m,1.0,0.0777599176401303
e,1.0,0.31667692765827005
sm,1.0,0.04586977541902439
me,1.0,0.08131336151276156
se,1.0,0.07117893959385357
sme,1.0,0.042037479467973156
