,vl,al,jl,odomx,odomy
0,0,0,0,-20,3
1,0.000131490861375,0.001314908613745,0.013149086137454,-20,3
2,0.001049437906671,0.009179470452965,0.078645618392193,-20,3
3,0.003527894695444,0.024784567887732,0.156050974347677,-20,3
4,0.00931630471387,0.057884100184255,0.330995322965222,-19.9990683695286,3
5,0.018659534083886,0.09343229370016,0.355481935159052,-19.9972024161202,3
6,0.032189535013278,0.135300009293926,0.418677155937663,-19.9939834626189,3
7,0.050477411841137,0.182878768278585,0.475787589846588,-19.9889357214348,3
8,0.074021159722763,0.235437478816263,0.525587105376779,-19.9815336054625,3
9,0.103236763151071,0.292156034283084,0.567185554668215,-19.9712099291474,3
10,0.138451215799167,0.352144526480955,0.599884921978711,-19.9573648075675,3
11,0.179897152104675,0.414459363055078,0.623148365741222,-19.939375092357,3
12,0.227709088875602,0.478119367709275,0.63660004654198,-19.9166041834695,3
13,0.2819212395411,0.542121506654974,0.640021389456991,-19.8884120595153,3
14,0.342466963890878,0.605457243497782,0.633357368428078,-19.8541653631263,3
15,0.409179764186401,0.667128002955226,0.616707594574439,-19.8132473867076,3
16,0.481795925241363,0.726161610549624,0.590336075943976,-19.7650677941835,3
17,0.559958652574186,0.781627273328237,0.554656627786132,-19.7090719289261,3
18,0.643223698052571,0.832650454783843,0.510231814556061,-19.6447495591208,3
19,0.731066355654079,0.878426576015077,0.457761212312335,-19.5716429235554,3
20,0.822889745653606,0.918233899995277,0.398073239801999,-19.48935394899,3
21,0.918034208982964,0.951444633293577,0.332107332983,-19.3975505280917,3
22,1.01478771939415,0.967535104111848,0.160904708182719,-19.2960717561523,3
23,1.11338220391976,0.98594484525615,0.184097411443018,-19.1847335357603,3
24,1.21305129933296,0.996690954131987,0.107461088758365,-19.063428405827,3
25,1.31301169397268,0.999603946397156,0.029129922651694,-18.9321272364298,3
26,1.41247548257742,0.99463788604738,-0.049660603497759,-18.790879688172,3
27,1.51066259161399,0.981871090365705,-0.127667956816757,-18.6398134290106,3
28,1.60681308143776,0.961504898237711,-0.203661921279941,-18.4791321208669,3
29,1.70019913140503,0.933860499672705,-0.276443985650054,-18.3091122077264,3
30,1.79013651765061,0.899373862455835,-0.344866372168706,-18.1300985559613,3
31,1.87599540299361,0.858588853429994,-0.40785009025841,-17.9424990156619,3
32,1.95721027241124,0.812148694176305,-0.464401592536889,-17.7467779884208,3
33,2.03328884860739,0.76078576196152,-0.513629322147846,-17.5434491035601,3
34,2.10381985887843,0.705310102710364,-0.554756592511563,-17.3330671176722,3
35,2.16847951406476,0.646596551863339,-0.587135508470249,-17.1162191662658,3
36,2.22703661749916,0.585571034343992,-0.610255175193464,-16.8935155045158,3
37,2.27935622945496,0.523196119558005,-0.623749147859876,-16.6655798815704,2.99999999999999
38,2.32540176217433,0.460455327193632,-0.62740792364373,-16.4330397053529,2.99999999999999
39,2.36523558084089,0.398338186665601,-0.621171405280307,-16.1965161472688,2.99999999999999
40,2.39901801418277,0.337824333418864,-0.605138532467375,-15.9566143458506,2.99999999999999
41,2.42700481957549,0.279868053927137,-0.579562794917266,-15.713913863893,2.99999999999999
42,2.44954315981899,0.225383402435018,-0.544846514921193,-15.4689595479111,2.99999999999999
43,2.46706612060758,0.175229607885878,-0.501537945491393,-15.2222529358503,2.99999999999999
44,2.48008588543698,0.130197648294001,-0.450319595918769,-14.9742443473067,2.99999999999999
45,2.48918565415976,0.090997687227823,-0.391999610661786,-14.7254532173211,3.00796403473564
46,2.49501044931019,0.058247951504282,-0.327497357235407,-14.4771009905061,3.03187936157224
47,2.49825693938783,0.032464900776383,-0.257830507278989,-14.2311346192683,3.07562203606853
48,2.49966245446545,0.014055150776256,-0.184097500001279,-13.9903582562759,3.14277757855619
49,2.49999335914727,0.003309046818227,-0.107461039580281,-13.7570966980664,3.23271485347303
50,2.5,6.6408527263917E-05,-0.032426382909634,-13.5335293127107,3.34459704242743
51,2.5,0,-0.000664085272639,-13.3217155349574,3.47739359190765
52,2.5,0,0,-13.1211915954863,3.62669245224825
53,2.5,0,0,-12.9332401632011,3.79153862024111
